index,price,brand,model,year,condition,transmission,fuel_type,kilometers_run
85,595000,toyota,starlet soleil,1998,used,automatic,lpg,175000
86,2850000,toyota,sienta,2020,reconditioned,automatic,"hybrid, octane",22868
87,2250000,honda,grace,2017,used,automatic,hybrid,42150
88,2600000,mitsubishi,outlandar,2010,used,automatic,octane,151575
89,2200000,toyota,esquire,2016,used,automatic,"hybrid, octane",124400
90,1535000,toyota,fielder,2010,used,automatic,"octane, lpg",120000
91,1450000,kia,sportage,2016,used,automatic,"octane, lpg",20000
92,1250000,toyota,corolla,2004,used,automatic,"cng, octane",150000
93,2650000,toyota,hiace,2013,used,automatic,petrol,50000
94,3190000,honda,civic,2017,used,automatic,petrol,31000
95,2025000,toyota,axio,2017,used,automatic,"hybrid, octane",69000
96,2050000,toyota,noah,2014,used,automatic,"petrol, hybrid, octane",101000
97,950000,kia,sportage,2006,used,automatic,octane,100000
98,1420000,toyota,allion,2005,used,automatic,"cng, octane",92000
99,1520000,toyota,axio,2011,used,automatic,"cng, octane",67075
100,1430000,toyota,aqua,2015,used,automatic,hybrid,114000
101,2980000,toyota,voxy,2019,used,automatic,"petrol, octane",68000
102,3650000,toyota,c-hr,2020,reconditioned,automatic,hybrid,39000
103,2950000,toyota,noah,2016,used,automatic,"hybrid, octane",98000
104,1265000,toyota,corolla,2005,used,automatic,"cng, octane",145000
105,2450000,honda,jade,2016,used,automatic,"hybrid, octane",80000
106,1280000,toyota,corolla,2006,used,automatic,"petrol, cng",61530
107,2890000,toyota,premio,2015,used,automatic,octane,50000
108,2200000,toyota,allion,2013,used,automatic,"petrol, octane",56000
109,3250000,nissan,x-trail,2018,used,automatic,"petrol, hybrid, octane",55000
110,950000,toyota,corolla,2001,used,automatic,"cng, octane",119895
111,1150000,toyota,corolla,2004,used,automatic,"cng, octane",104995
112,2370000,toyota,allion,2012,used,automatic,octane,58359
113,1000000,honda,airwave,2006,used,automatic,"octane, lpg",179000
114,1290000,toyota,allion,2004,used,automatic,"octane, lpg",105236
115,1910000,toyota,noah,2010,used,automatic,"cng, octane",75000
116,1325000,toyota,aqua,2013,used,automatic,"hybrid, octane",61000
117,1095000,toyota,aqua,2013,used,automatic,"hybrid, octane",79000
118,1580000,toyota,prius,2013,used,automatic,hybrid,70000
119,9500000,toyota,harrier,2023,reconditioned,automatic,"petrol, hybrid, octane",5277
120,4800000,toyota,noah,2022,reconditioned,automatic,"petrol, hybrid, octane",56072
121,2350000,toyota,sienta,2020,reconditioned,automatic,"petrol, hybrid, octane",68154
122,1700000,toyota,aqua,2020,reconditioned,automatic,"petrol, hybrid",93560
123,3400000,toyota,c-hr,2019,reconditioned,automatic,hybrid,31367
124,2070000,toyota,probox,2020,reconditioned,automatic,"petrol, hybrid, octane",107258
125,3400000,toyota,c-hr,2020,reconditioned,automatic,"petrol, hybrid, octane",86600
126,4050000,toyota,premio,2020,reconditioned,automatic,octane,48766
127,3450000,toyota,c-hr,2020,reconditioned,automatic,hybrid,47521
128,2450000,toyota,axio,2020,reconditioned,automatic,hybrid,100
129,3100000,toyota,prius,2019,reconditioned,automatic,hybrid,87000
130,5650000,toyota,corolla cross,2025,reconditioned,automatic,hybrid,4
131,5430000,toyota,noah,2023,reconditioned,automatic,hybrid,11000
132,2450000,toyota,axio,2020,reconditioned,automatic,hybrid,100
133,3400000,honda,civic,2018,reconditioned,automatic,"petrol, octane",80000
134,4400000,toyota,esquire,2020,reconditioned,automatic,octane,55000
135,3700000,toyota,noah,2021,reconditioned,automatic,"petrol, hybrid, octane",40600
136,2300000,toyota,fielder,2020,reconditioned,automatic,"petrol, hybrid, octane",40125
137,4500000,toyota,esquire,2020,reconditioned,automatic,petrol,53000
138,4350000,toyota,corolla cross,2020,reconditioned,automatic,hybrid,49000
139,11500000,lexus,rx,2021,used,automatic,"hybrid, octane",2022
140,2800000,toyota,fielder,2020,reconditioned,automatic,"petrol, octane",68794
141,3600000,toyota,hiace,2021,reconditioned,automatic,"octane, other fuel type",70111
142,2700000,toyota,sienta,2019,reconditioned,automatic,"hybrid, octane",105000
143,3050000,toyota,noah,2020,reconditioned,automatic,hybrid,73298
144,2900000,toyota,axio,2020,reconditioned,automatic,petrol,28000
145,3400000,toyota,c-hr,2020,reconditioned,automatic,"petrol, hybrid, octane",67850
146,2500000,toyota,corolla,2020,reconditioned,automatic,"petrol, hybrid, octane, other fuel type",56000
147,3200000,toyota,voxy,2020,reconditioned,automatic,"petrol, octane",78954
148,2450000,toyota,corolla,2020,reconditioned,automatic,"petrol, hybrid, octane, other fuel type",91000
149,3820000,toyota,esquire,2020,reconditioned,automatic,"petrol, hybrid, octane",85932
150,2800000,toyota,hiace,2020,reconditioned,automatic,"petrol, octane",64258
151,3160000,toyota,noah,2020,reconditioned,automatic,"petrol, hybrid, octane",92320
152,2920000,toyota,hiace,2021,reconditioned,automatic,"petrol, octane",69395
