price,brand,model,year,condition,transmission,fuel_type,kilometers_run,age,km_per_year
2360000,toyota,axio,2020,reconditioned,automatic,"petrol, hybrid",79000,5,15800.0
4390000,toyota,corolla,2022,used,automatic,octane,49000,3,16333.333333333334
1395000,toyota,corolla,2006,used,automatic,"octane, lpg",93000,19,4894.736842105263
1875000,toyota,allion,2009,used,automatic,"cng, octane",91000,16,5687.5
2080000,toyota,noah,2011,used,automatic,"cng, octane",98156,14,7011.142857142857
1485000,toyota,allion,2005,used,automatic,"cng, octane",90000,20,4500.0
1390000,toyota,allion,2004,used,automatic,"cng, octane",45000,21,2142.8571428571427
2520000,honda,city,2021,used,automatic,"hybrid, octane",5730,4,1432.5
2200000,toyota,fielder,2014,used,automatic,octane,72000,11,6545.454545454545
1550000,honda,grace,2015,used,automatic,hybrid,72294,10,7229.4
880000,toyota,corolla,2000,used,automatic,"cng, octane",60000,25,2400.0
